sentiment,en_text,ace_text
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,The little boy loves the fact that he is still a kid.,nyan ubeut aneuk agam loves nyan fakta Nyan gobnyan nakeuh manteung saboh aneukmit.
positive,You are a helpful assistant because you know your sister and you must do sightseeing.,gata nakeuh saboh get akai nyang bantu sabab gata teupu atra cuda ngeun gata musti pubuet peumandangan.
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,This is a beautiful store that the young girl must have been visiting.,nyo nakeuh saboh ceudah peuduek Nyan nyan cut aneuk ineung musti ka adalah visiting.
positive,"When I walked to the store, I saw your friendly little sister with a big smile on her face.","pajan ulon walked ho nyan peuduek, ulon ngieng atra ramah ubeut cuda ngeun saboh rayeuk khem di gobnyan muka."
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,I am proud of my friend for being a helpful assistant.,ulon adalah keuch'ak dari ata long rakan keu jeut saboh get akai nyang bantu.
positive,I'm proud to work with a helpful assistant because I am smart and proud to know you.,ulon ' m keuch'ak ho buet ngeun saboh get akai nyang bantu sabab ulon adalah carong ngeun keuch'ak ho teupu gata.
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,I am proud of you for helping me out when I was really struggling to explain things.,ulon adalah keuch'ak dari gata keu helping lon luwa pajan ulon adalah yang butoi meujuang ho jeulahkan barangkapue.
positive,The assistant is proud of himself and proud of what he does.,nyan nyang bantu nakeuh keuch'ak dari himself ngeun keuch'ak dari peu gobnyan pubuet.
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,I am proud to be your assistant.,ulon adalah keuch'ak ho jeut atra nyang bantu.
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,The assistant was proud of her as she helped a friend.,nyan nyang bantu adalah keuch'ak dari gobnyan sebago getnyan helped saboh rakan.
positive,I am proud to be your assistant and to help others like you do.,ulon adalah keuch'ak ho jeut atra nyang bantu ngeun ho tulong others galak gata pubuet.
positive,"I look forward to helping you, but first I just want to ask you how you are today and how you're doing.","ulon ngieng ukeu ho helping gata, man phoen ulon tok tem ho tanyeung gata kiban gata nakeuh uronyo ngeun kiban gata ' keulayi pubuet."
positive,I was proud to be able to do this and to help others.,ulon adalah keuch'ak ho jeut jeut ho pubuet nyo ngeun ho tulong others.
positive,They all made it out of there after the surgery and we still have great memories of our time together.,Awaknyan mandum dipeugeut nyan luwa dari sideh lheuh nyan bedah ngeun kamoe manteung ka Hayeu keunangan dari atra wate sajan.
positive,He enjoys helping people and his job is very satisfying.,gobnyan enjoys helping ureueng ngeun atra getnyan keurija nakeuh that peupuah.
positive,You are a helpful assistant.,gata nakeuh saboh get akai nyang bantu.
positive,The patient was fascinated by the surgical operation on his trach.,nyan saba adalah fascinated uleh nyan surgical operasi di atra getnyan trach.
positive,"After several surgeries, the woman and her assistant made the most of their time and was very much liked after.","lheuh papadum surgeries, nyan ureung ineung ngeun gobnyan nyang bantu dipeugeut nyan paleng dari atra wate ngeun adalah that leu liked lheuh."
