passage,question_number,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,translated_passage,translated_question,translated_mc_answer1,translated_mc_answer2,translated_mc_answer3,translated_mc_answer4
"Chopin's life was covered in a BBC TV documentary Chopin – The Women Behind The Music (2010), and in a 2010 documentary realised by Angelo Bozzolini and Roberto Prosseda for Italian television.",1,In what year was the BBC documentary Chopin - The Women Behind the Music released?,Chopin,Angelo Bozzolini,2010,Roberto Prosseda,3,ህይወት ቾፒን ብቢቢሲ ቲቪ ዶክመንታሪ ቾፒን - እተን ብድሕሪ እቲ ሙዚቃ ዝነበራ ደቂ ኣንስትዮ (2010) ተሸፊና ነበረት፡ ኣብ 2010 ድማ ብኣንጀሎ ቦዞዞሊኒን ሮበርቶ ፕሮሰሰዳን ንተለቪዥን ጥልያን ኣብ ዝተገንዘበ ሰነዳዊ ፊልምን ኣብ ዝተገንዘበ ሰነዳዊ ፊልምን እዩ።,ኣብ ክንደይ ዓመት እዩ ነይሩ እቲ ናይ ቢቢሲ ዶክመንታሪ ቾፒን - እተን ድሕሪ እቲ ዝተዘርግሐት ሙዚቃ ዝነበራ ደቂ ኣንስትዮ?,ቾፒን .,ኣንጀሎ ቦዞሊኒ,2010,ሮበርቶ ይቕጽል ኣሎ
"Second, Democrats have always elevated their minority floor leader to the speakership upon reclaiming majority status. Republicans have not always followed this leadership succession pattern. In 1919, for instance, Republicans bypassed James R. Mann, R-IL, who had been minority leader for eight years, and elected Frederick Gillett, R-MA, to be Speaker. Mann ""had angered many Republicans by objecting to their private bills on the floor;"" also he was a protégé of autocratic Speaker Joseph Cannon, R-IL (1903–1911), and many Members ""suspected that he would try to re-centralize power in his hands if elected Speaker."" More recently, although Robert H. Michel was the Minority Leader in 1994 when the Republicans regained control of the House in the 1994 midterm elections, he had already announced his retirement and had little or no involvement in the campaign, including the Contract with America which was unveiled six weeks before voting day.",2,How long was James R. Mann minority leader?,eight years,Frederick Gillett,James R. Mann,1903–1911,1,"ካልኣይ፡ ደሞክራስያውያን ንውሑዳት ንውሑዳት መራሒ ደርቢኦም ወትሩ ናብ ተዛራቢኦም ልዕል ኣቢሎምዎ እዮም፡ ኣብዝሓሉ እዋን ድማ ናይ ዝበዝሐ ደረጃ ምስ ዝመልሱ። ሪፓብሊካን ነዚ ናይ መሪሕነት ተኸታታሊ ቅዲ ኩሉ ግዜ ኣይከተሉን እዮም። ንኣብነት ኣብ 1919 ሪፓብሊካን ንጀምስ ኣር-ማን ንሸሞንተ ዓመታት መራሒ ንውሑዳት ዝነበረን ንፍረደሪክ ጊለት፡ R-MAን መሪጹ፡ ተዛራባይ ንኽኸውን መሪጹ። ማን ""ንብዙሓት ሪፓብሊካን ኣብ መሬት ንዝነበሮም ናይ ብሕቲ ሕሳቦም ብምቅዋም ኣቖጢዕዎም ነይሩ፤"" ከምኡ ውን ንሱ ፕሮቴጀት ናይ ኣውቶክራስያዊ ተዛራባይ ጆሴፍ ካኖን፡ R-IL (1903–1911) እዩ ነይሩ፡ ብዙሓት ኣባላት ድማ ""ተዛራባይ እንተመሪጹ ስልጣን ኣብ ኢዱ ዳግማይ ከእቱ ከም ዝፍትን ጥርጣረ ነይርዎም።"" ኣብዚ ቀረባ እዋን ሮበርት ኤች ሚሸል ኣብ 1994 ሪፓብሊካን ኣብ 1994 ኣብ መፋርቕ ምርጫ ንቤት ምቁጽጻሩ ዳግማይ ምስ ረኸቡ፡ ድሮ ጡረታ ምውጽኡ ኣፍሊጡ ስለ ዝነበረ፡ ቅድሚ መዓልቲ ምድማጽ ሽዱሽተ ሰሙናት ዝነበረ ውዕል እንተላይ ኣብቲ ጎስጓስ ውሑድ ወይ ዋላ ሓንቲ ተሳትፎ ኣይነበሮን ነይሩ።",ጀምስ ኣር ማን ንውሑዳት ውሑዳት ክሳብ መዓስ እዩ ነይሩ?,ሸሞንተ ዓመት,ፍረደሪክ ጊሌት,ጀምስ ኣር ማን,1903–1911 ዓ.ም.
"West's life took a different direction when his mother, Donda West, died of complications from cosmetic surgery involving abdominoplasty and breast reduction in November 2007. Months later, West and fiancée Alexis Phifer ended their engagement and their long-term intermittent relationship, which had begun in 2002. The events profoundly affected West, who set off for his 2008 Glow in the Dark Tour shortly thereafter. Purportedly because his emotions could not be conveyed through rapping, West decided to sing using the voice audio processor Auto-Tune, which would become a central part of his next effort. West had previously experimented with the technology on his debut album The College Dropout for the background vocals of ""Jesus Walks"" and ""Never Let Me Down."" Recorded mostly in Honolulu, Hawaii in three weeks, West announced his fourth album, 808s & Heartbreak, at the 2008 MTV Video Music Awards, where he performed its lead single, ""Love Lockdown"". Music audiences were taken aback by the uncharacteristic production style and the presence of Auto-Tune, which typified the pre-release response to the record.",3,"How soon after his mother died, did Kanye end his relationship with Alexis Phifer?",Love Lockdown,808s & Heartbreak,Months later,West,3,"ኣዲኡ ዶንዳ ዌስት ዶንዳ ዌስት ኣብ ሕዳር 2007 ኣብ ሕዳር 2007 ብሰንኪ መጥባሕትን ምጉዳል ጡብን ብዝተሓዋወሰ ሕልኽላኽ መመላኽዒ ምስ ሞተት ህይወት ዌስት ዝተፈለየ ኣንፈት ወሲዱ።ድሕሪ ኣዋርሕ ዌስትን ሕጹይ ኣሌክሲስ ፊፈርን ሕጽኖቶም ኣብቂዑ ነዊሕ ግዜ ዝነበሮም ርክቦምን ኣብ 2002 ዝነበረ ናይ ነዊሕ ግዜ ውርዝም ታሕትን 2008 ዝነበረ ፍጻሜት 2008 ዝነበረ ውድድሩን 2000 ዓመት ዝጀመረ ናቱ ናቱ ናቱ ናቶም 2000 ዓመት ዝጀመረ ናቶም 2000 ዓመት ዝጀመረ እዩ። ስምዒታቱ ብራፒንግ ክመሓላለፍ ስለዘይክእል፡ ዌስት ነቲ ማእከላይ ኣካል ናይቲ ዝቕጽል ጻዕሩ ማእከላይ ኣካል ክኸውን ዝኽእል ድምጺ ድምጺ ፕሮሰሰር ኣውቶ-ቱን ተጠቒሙ ክደርፍ ወሰነ። ዌስት ቅድሚ ሕጂ ኣብታ ናይ መጀመርታ ኣልበሙ ዘ ኮሌጅ ድሮፕኣውት ንድሕረ ባይታ ድምጺ ""ጀሱስ ዎክስ""ን ""Never Leged Me Down""ን ነቲ ቴክኖሎጂ ፈቲኑ ነይሩ። ዌስት ኣብ ውሽጢ ሰለስተ ሰሙን መብዛሕትኡ ግዜ ኣብ ሆኖሉሉ፡ ሃዋይ ዝተቐድሐት ዌስት፡ ኣብ 2008 ኣብ ዝተኻየደ ሽልማት ኤምቲቪ ቪድዮ ሙዚቃ ራብዓይቲ ኣልበሙ፡ 808S & Heartbreak ኣፍሊጣ፡ ኣብኡ ድማ ""Love Lockdown"" እትብል መሪሕ ንጽል ደርፉ ኣቕሪባ። ተዓዘብቲ ሙዚቃ ብዘይባህርያዊ ቅዲ ምፍራይን ህላወ ኣውቶ-ቱንን ተገሪሞም፡ እዚ ድማ ነቲ ቅድሚ ምዝርጋሕ ዝነበረ መልሲ ናይቲ መዝገብ ኣመልኪቱ።",ኣዲኡ ምስ ሞተ ክንደይ ነዊሕ ግዜ፡ ካንየ ምስ ኣሌክሲስ ፊፈር ዝነበሮ ርክብ ኣቋሪጹ?,ፍቕሪ ሎክዳውንድ,808S & ልቢ ዝሰብር,ድሕሪ ኣዋርሕ,ምዕራብ
"The original idea of a Chinese satellite navigation system was conceived by Chen Fangyun and his colleagues in the 1980s. According to the China National Space Administration, the development of the system would be carried out in three steps:",4,How many steps would be required to build a Chinese satellite navigation system?,the China National Space Administration,three,the 1980s,Chen Fangyun,2,እቲ መበቆላዊ ሓሳብ ናይ ሓደ ቻይናዊ ሳተላይት ናቪጌሽን ስርዓት ብቸን ፋንግዩንን መሳርሕቱን ኣብ 1980ታት ዝተሓሰበ እዩ። ብመሰረት ምምሕዳር ሃገራዊ ህዋ ቻይና፡ ምምዕባል እቲ ስርዓት ብሰለስተ ደረጃታት ክካየድ ምኸኣለ፤,ቻይናዊ ሳተላይት ናቪጌሽን ስርዓት ንምህናጽ ክንደይ ስጉምቲ ምተገደደ?,ሃገራዊ ምምሕዳር ህዋ ቻይና,ሰለስተ,1980ታት .,ቸን ፋንግ ደበና
"Scientific academies and societies grew out of the Scientific Revolution as the creators of scientific knowledge in contrast to the scholasticism of the university. During the Enlightenment, some societies created or retained links to universities. However, contemporary sources distinguished universities from scientific societies by claiming that the university's utility was in the transmission of knowledge, while societies functioned to create knowledge. As the role of universities in institutionalized science began to diminish, learned societies became the cornerstone of organized science. Official scientific societies were chartered by the state in order to provide technical expertise. Most societies were granted permission to oversee their own publications, control the election of new members, and the administration of the society. After 1700, a tremendous number of official academies and societies were founded in Europe, and by 1789 there were over seventy official scientific societies. In reference to this growth, Bernard de Fontenelle coined the term ""the Age of Academies"" to describe the 18th century.",5,What period of scientific knowledge created scientific academies and societies?,the Scientific Revolution,Bernard de Fontenelle,1700,Europe,1,"ሳይንሳዊ ኣካዳሚታትን ሕብረተሰባትን ካብ ሳይንሳዊ ሰውራ ከም ፈጠርቲ ሳይንሳዊ ፍልጠት ኮይኖም ብኣንጻር ስኮላስቲዝም ናይቲ ዩኒቨርሲቲ ከም ፈጠርቲ ሳይንሳዊ ፍልጠት ዓብዮም። ኣብ እዋን ምብራህ ገለ ሕብረተሰባት ምስ ዩኒቨርሲቲታት ምትእስሳር ይፈጥሩ ወይ ይዕቅቡ ነይሮም። ይኹን እምበር፡ እዋናዊ ምንጭታት ንዩኒቨርሲቲታት ካብ ሳይንሳዊ ሕብረተሰባት ይፈልዩ፡ እቲ ዩኒቨርሲቲ ዘለዎ ረብሓ ኣብ ምትሕልላፍ ፍልጠት እዩ ነይሩ ብምባል፡ ሕብረተሰባት ፍልጠት ንምፍጣር ይሰርሑ ነበሩ። ተራ ዩኒቨርሲቲታት ኣብ ትካላዊ ሳይንስ ክጎድል ምስ ጀመረ፡ ዝተማህሩ ሕብረተሰባት እምነ-ኩርናዕ ዝተወደበ ሳይንስ ኮይኖም። ወግዓዊ ሳይንሳዊ ማሕበራት ቴክኒካዊ ክእለት ንምሃብ ብመንግስቲ ተኻቲዖም። መብዛሕትኦም ሕብረተሰባት ናይ ባዕሎም ሕትመታት ንምክትታል፣ ንምርጫ ሓደሽቲ ኣባላት ንምቁፅፃርን ምምሕዳር እቲ ሕብረተሰብን ፍቓድ ተዋሂብዎም። ድሕሪ 1700 ዓ.ም.ፈ. ነዚ ዕብየት እዚ ብምጥቃስ፡ በርናርድ ደ ፎንተነለ፡ መበል 18 ክፍለ ዘመን ንምግላጽ ""ዘመናት ኣካዳሚታት"" ዝብል ቃል ተጠቒሱ።",ሳይንሳዊ ፍልጠት እንታይ እዋን እዩ ሳይንሳዊ ኣካዳሚታትን ሕብረተሰባትን ዝፈጠረ?,ሳይንሳዊ ሰውራ,በርናርድ ደ ፎንተነል,1700 .,ኤውሮጳ
"The roots of Orthodox Judaism can be traced to the late 18th or early 19th century, when elements within German Jewry sought to reform Jewish belief and practice in the early 19th century in response to the Age of Enlightenment, Jewish Emancipation, and Haskalah. They sought to modernize education in light of contemporary scholarship. They rejected claims of the absolute divine authorship of the Torah, declaring only biblical laws concerning ethics to be binding, and stated that the rest of halakha (Jewish law) need not be viewed as normative for Jews in wider society. (see Reform Judaism).",6,Who sought to reform Jewish belief and practice?,the early 19th century,German Jewry,Torah,Haskalah,2,ሱር ናይ ኦርቶዶክሳውያን ኣይሁድነት ክሳብ መወዳእታ 18 ወይ መጀመርታ መበል 19 ክፍለ ዘመን ክስዕብ ይኽእል፣ ኣብቲ እዋን ኣብ ውሽጢ ጀርመናዊ ኣይሁድ ዝርከቡ ባእታታት ኣብ መጀመርታ መበል 19 ክፍለ ዘመን ንዘመነ ምብራህ፣ ናይ ኣይሁድ ሓራስን ሓስካላህን ምላሽ ንምሃብ ኣብ መጀመርታ 19 ክፍለ ዘመን ኣይሁዳዊ እምነትን ልምምድን ከዐርዩ ኣብ ዝደለዩሉ እዋን። ንትምህርቲ ብመንጽር እዋናዊ ስኮላርሺፕ ዘመናዊ ንምግባር ፈቲኖም። ንሳቶም ንፍጹም መለኮታዊ ጸሓፊነት ናይቲ ኦሪት ዝብል ክሲ ነጺጎም፡ ስነ-ምግባር ብዛዕባ ቀያዲ ምዃኑ ዝገልጽ መጽሓፍ ቅዱሳዊ ሕግታት ጥራይ ኣወጊዶም፡ እቶም ዝተረፉ ሃላካ (ኣይሁዳዊ ሕጊ) ኣብ ሰፊሕ ሕብረተሰብ ንኣይሁድ ከም ስርዓታዊ ክረኣዩ ከም ዘየድልዮም ገሊጾም። (ናይ ጽገና ኣይሁድነት ርአ)።,ኣይሁዳዊ እምነትን ልምምድን ንምጽጋን ዝደለየ መን እዩ?,መጀመርታ መበል 19 ክፍለ ዘመን,ጀርመናዊ ኣይሁዳዊ,ኦሪት,ኣለኒ
"The two major types of nonprofit organization are membership and board-only. A membership organization elects the board and has regular meetings and the power to amend the bylaws. A board-only organization typically has a self-selected board, and a membership whose powers are limited to those delegated to it by the board. A board-only organization's bylaws may even state that the organization does not have any membership, although the organization's literature may refer to its donors or service recipients as ""members""; examples of such organizations are Fairvote and the National Organization for the Reform of Marijuana Laws. The Model Nonprofit Corporation Act imposes many complexities and requirements on membership decision-making. Accordingly, many organizations, such as Wikimedia, have formed board-only structures. The National Association of Parliamentarians has generated concerns about the implications of this trend for the future of openness, accountability, and understanding of public concerns in nonprofit organizations. Specifically, they note that nonprofit organizations, unlike business corporations, are not subject to market discipline for products and shareholder discipline of their capital; therefore, without membership control of major decisions such as election of the board, there are few inherent safeguards against abuse. A rebuttal to this might be that as nonprofit organizations grow and seek larger donations, the degree of scrutiny increases, including expectations of audited financial statements. A further rebuttal might be that NPOs are constrained, by their choice of legal structure, from financial benefit as far as distribution of profit to its members/directors is concerned. Beware of board-only organizations- review the board members annual income before donating, such as the Clinton Foundation. Board members who decide what percentage of your donations will increase their personal wealth are rampant in abusing this designation of an NPO, and this is why they attempt to avoid audits and use a double bottom line for taxing.",7,How many major types of NPO are membership and board-only?,two,Wikimedia,The Model Nonprofit Corporation Act,The National Association of Parliamentarians,1,"እቶም ክልተ ዓበይቲ ዓይነታት ንመኽሰብ ዘይሰርሕ ትካል ኣባልነትን ቦርድ ጥራይን እዮም። ሓደ ናይ ኣባልነት ትካል ነቲ ቦርድ ይመርጽን ስሩዕ ኣኼባታትን ነቲ መተሓዳደሪ ደንቢ ናይ ምምሕያሽ ስልጣንን ኣለዎ። ሓደ ንቦርድ ጥራይ ዝውዕል ትካል ብተለምዶ ባዕሉ ዝመረጾ ቦርድ ኣለዎ፣ ከምኡ’ውን ስልጣኑ ኣብቲ ብቦርድ ዝእከብ ጥራይ ዝተሓጽረ ኣባልነት ኣለዎ። ሓደ ቦርድ ጥራይ ዝጥቀመሉ ትካል መተሓዳደሪ ደንቢ፡ እቲ ትካል ዝኾነ ኣባልነት ከምዘይብሉ እኳ ክገልጽ ይኽእል'ዩ፡ ዋላ'ኳ እቲ ትካል ስነ-ጽሑፍ ንለገስቲ ወይ ተቐበልቲ ኣገልግሎቱ ""ኣባላት"" ኢሉ ክጽውዕ ይኽእል እንተኾነ፤ ኣብነታት ናይ ከምዚኦም ዝኣመሰሉ ትካላት ፍትሓዊቮትን ሃገራዊ ትካል ጽገና ሕግታት ማሪዋና እዮም። እቲ ሞዴል ዘይመኽሰብ ኮርፖሬሽን ሕጊ ኣብ ውሳነታት ኣባልነት ብዙሕ ዝተሓላለኹን ረቛሒታትን ይጽዕን። በዚ መሰረት ብዙሓት ትካላት ከም ዊኪሚድያ ንቦርድ ጥራይ ዝሰርሓ መሓውራት ኣቚመን እየን። ሃገራዊ ማሕበር ኣባላት ባይቶ፡ እዚ ኣንፈት’ዚ ንመጻኢ ክፉትነት፡ ተሓታትነት፡ ከምኡ’ውን ኣብ ዘይመኽሰብ ትካላት ንዘሎ ​​ህዝባዊ ስክፍታታት ዝምልከት ርድኢት ዝምልከት ትርጉም ዝምልከት ስክፍታታት ፈጢሩ ኣሎ። ብፍላይ ንመኽሰብ ዘይሰርሑ ትካላት ዘይከም ንግዳዊ ኮርፖሬሽናት ንፍርያትን ንኣክስዮናውያን ስነ-ስርዓት ርእሰማልን ዝኸውን ናይ ዕዳጋ ስነስርዓት ከምዘይግበረሎም ይሕብሩ፤ ስለዚ ከም ምርጫ ቦርድ ዝኣመሰሉ ዓበይቲ ውሳነታት ኣባልነት እንተዘይቆፃፀሩ ኣብ ልዕሊ ግህሰታት ዝግበር ባህርያዊ ውሕስናታት ውሑዳት እዮም። ነዚ ምኽሓድ ንመኽሰብ ዘይሰርሑ ትካላት እናዓበዩን ዝዓበየ ወፈያታት እናደለዩን ምስ ከዱ፡ እቲ ደረጃ ምጽራይ ዝውስኽ፡ ትጽቢታት ናይቲ ኦዲት ዝተገብረሉ ፋይናንሳዊ መግለጺታት ሓዊሱ፡ ደረጃ ምጽራይ ይውስኽ ክኸውን ይኽእል። ተወሳኺ ምኽንያታዊ ምኽንያታዊ ክኸውን ይኽእል፡ NPOs ብምርጫኦም ሕጋዊ ቅርጺ፡ ካብ ፋይናንሳዊ ረብሓ ክሳብ ምክፍፋል መኽሰብ ንኣባላቱ/ዳይረክተራት ክድረት ይኽእል እዩ። ካብ ቦርድ ጥራይ ዝውለዱ ትካላት ተጠንቀቑ- ቅድሚ ምልጋሶም ንኣባላት ቦርድ ዓመታዊ ኣታዊ ምግምጋም፣ ከም ክሊንተን ፋውንዴሽን ዝኣመሰሉ። ካብ ወፈያታትካ ክንደይ ሚእታዊት ከም ዝውስኽ ዝውስኑ ኣባላት ቦርድ ነዚ ናይ NPO ስያመ ኣብ ምግዳስ ስፍሕ ዝበለ እዩ፣ ነዚ ድማ እዮም ንክኽፈል ግብሪ ንምውጻእን ድርብ ታሕተዋይ መስመር ክጥቀሙን ዝፍትኑ።",ክንደይ ዓበይቲ ዓይነታት NPO ኣባልነትን ቦርድ ጥራይን እዮም?,ክልተ,ዊኪሚድያ,እቲ ሞዴል ዘይመኽሰብ ኮርፖሬሽን ሕጊ .,ሃገራዊ ማሕበር ኣባላት ባይቶ
"Sometimes overlooked during his life, James Lind, a physician in the British navy, performed the first scientific nutrition experiment in 1747. Lind discovered that lime juice saved sailors that had been at sea for years from scurvy, a deadly and painful bleeding disorder. Between 1500 and 1800, an estimated two million sailors had died of scurvy. The discovery was ignored for forty years, after which British sailors became known as ""limeys."" The essential vitamin C within citrus fruits would not be identified by scientists until 1932.",8,Who conducted the first scientific nutritional experiment?,an estimated two million,years,James Lind,forty years,3,"ሓድሓደ ግዜ ኣብ ህይወቱ ዕሽሽ ዝበሃል ዝነበረ፡ ኣብ ሓይሊ ባሕሪ እንግሊዝ ሓኪም ዝነበረ ጀምስ ሊንድ፡ ኣብ 1747 ናይ መጀመርታ ሳይንሳዊ ፈተነ ስነ-ምግባር ፈጸመ።ሊንድ ጽማቝ ኖራ፡ ካብ ስካርቪ ንዓመታት ኣብ ባሕሪ ዝጸንሐ ባሕረኛታት ከም ዘድሓኖ ረኸበ፡ እዚ ድማ ቀታሊን ዘሕምምን ምፍሳስ ደም ጸገም ከም ዘድሓኖ ረኸበ። ኣብ መንጎ 1500ን 1800ን፡ ክልተ ሚልዮን ባሕረኛታት ብሰንኪ ስኩርቪ ከም ዝሞቱ ዝግመት እዩ። እቲ ርኽበት ንኣርብዓ ዓመት ዕሽሽ ተባሂሉ፡ ድሕሪኡ ባሕረኛታት እንግሊዝ ""ላይማይስ"" ተባሂሎም ተባሂሎም ተባሂሎም ይጽውዑ። ኣብ ውሽጢ ፍረታት ሲትረስ ዝርከብ ኣገዳሲ ቪታሚን ሲ ክሳብ 1932 ብሳይንቲስት ኣይምለለየን።",መን እዩ ናይ መጀመርታ ሳይንሳዊ ፈተነ ኣመጋግባ ዘካየደ?,ብገምጋም ክልተ ሚልዮን .,ዓመታት,ጀምስ ሊንድ,ኣርብዓ ዓመት
"Presbyterianism is historically a confessional tradition. This has two implications. The obvious one is that confessional churches express their faith in the form of ""confessions of faith,"" which have some level of authoritative status. However this is based on a more subtle point: In confessional churches, theology is not solely an individual matter. While individuals are encouraged to understand Scripture, and may challenge the current institutional understanding, theology is carried out by the community as a whole. It is this community understanding of theology that is expressed in confessions.",9,How many implications does Presbyterianism have?,craps.n.01,couple.n.04,—,two,4,"ፕረስቢተርያኒዝም ብታሪኽ ኑዛዜ ትውፊት እዩ። እዚ ክልተ ትርጉም ኣለዎ። እቲ ርኡይ ዝኾነ፡ ኑዛዜ ኣብያተ ክርስቲያናት እምነተን ብመልክዕ ""ናባታት እምነት"" ገለ ደረጃ ስልጣን ዘለዎ ደረጃ ዘለወን ከም ዝገልጻ እዩ። እዚ ግን ኣብ ዝያዳ ረቂቕ ነጥቢ ዝተመርኮሰ እዩ: ኣብ ኑዛዜ ኣብያተ ክርስቲያናት ቲዮሎጊያ ውልቀ-ሰባት ጥራይ ኣይኮነን። ውልቀሰባት ቅዱሳት መጻሕፍቲ ንምርዳእ ክተባብዑ እንከለዉ፡ ነቲ ሕጂ ዘሎ ትካላዊ ርድኢት ክፈታተኑዎ ዝኽእሉ እኳ እንተኾኑ፡ ቲዮሎጊያ ግን ብሓፈሻ ብማሕበረሰብ ይፍጸም። እዚ ማሕበረሰብ ርድኢት ስነ መለኮት እዩ ኣብ ኑዛዜ ዝግለጽ።",ፕረስቢተርያኒዝም ክንደይ ትርጉም ኣለዎ?,craps.n.01,መጻምድቲ.n.04,—,ክልተ
"In 1797, Patrick Colquhoun was able to persuade the West Indies merchants who operated at the Pool of London on the River Thames, to establish a police force at the docks to prevent rampant theft that was causing annual estimated losses of £500,000 worth of cargo. The idea of a police, as it then existed in France, was considered as a potentially undesirable foreign import. In building the case for the police in the face of England's firm anti-police sentiment, Colquhoun framed the political rationale on economic indicators to show that a police dedicated to crime prevention was ""perfectly congenial to the principle of the British constitution."" Moreover, he went so far as to praise the French system, which had reached ""the greatest degree of perfection"" in his estimation.",10,How much money did the thefts of cargo account for each year?,West Indies,"500,000",British,Patrick Colquhoun,2,"ኣብ 1797 ፓትሪክ ኮልኩሆን ነቶም ኣብ ሩባ ተምዝ ኣብ ዝርከብ ፑል ለንደን ዝሰርሑ ነጋዶ ዌስት ኢንዲስ ከእምኖም ክኢሉ፣ ኣብ ወደባት ሓይሊ ፖሊስ ንምትካል ኣብ ወደባት ሓይሊ ፖሊስ ንምትካል 500,000 ፓውንድ ዝግመት ግምታዊ ክሳራታት ጽዕነት ዝፈጥር ዝነበረ ስርቂ ስርቂ ንምክልኻል። ከምቲ ሽዑ ኣብ ፈረንሳ ዝነበረ ናይ ፖሊስ ሓሳብ፡ ከም ዘይተደልየ ናይ ወጻኢ ኣእትዎት ከም ዘይተደልየ ይቑጸር ነበረ። ኮልኩሆን ኣብ ቅድሚ እቲ ኣብ ዓዲ እንግሊዝ ዝነበረ ትካል ጸረ-ፖሊስ ዝብል ትካል ኣብ ምህናጽ፡ ነቲ ንፖሊስ ዝምልከት ጉዳይ ኣብ ምህናጽ፡ ኮልኩሆን፡ ንመከላኸሊ ገበን ዝተወፈየ ፖሊስ ""ንመትከል ቅዋም እንግሊዝ ፍጹም ዘይፍለጥ"" ምዃኑ ንምግላጽ፡ ነቲ ኣብ ቁጠባዊ መርኣዪታት ዝነበረ ፖለቲካዊ ምኽንያት ቀሪጹ። ብተወሳኺ፡ ነቲ ኣብ ግምቱ ""እቲ ዝዓበየ ደረጃ ፍጽምና"" ዝበጽሐ ስርዓት ፈረንሳ ክሳብ ዝንኣድ በጺሑ።",ስርቂ ናይ ጽዕነት ናይ ነፍሲ ወከፍ ዓመት ክንደይ ገንዘብ እዩ ነይሩ?,ምዕራብ ኢንዲስ,"500,000",እንግሊዛዊ,ፓትሪክ ኮልኩሆን
