variant,sent_mean_len,sent_std_len,tok_mean_len,tok_std_len,vocab_size,ttr,top_unigrams,flesch,distinct1,distinct2,batch_diversity,bert_f1,gpt2_ppl,mlm_ppl
variant_1_final,14.22888888888889,4.415483978617985,4.321489926596907,2.715568254679361,2365,0.18467905669217555,"[{'token': 'the', 'count': 1544, 'pct': 12.056848352334843}, {'token': '?', 'count': 898, 'pct': 7.012337966578166}, {'token': 'of', 'count': 611, 'pct': 4.7712009995314695}, {'token': 'to', 'count': 566, 'pct': 4.419803217241918}, {'token': ',', 'count': 406, 'pct': 3.1703888802124007}, {'token': 'is', 'count': 342, 'pct': 2.6706231454005933}, {'token': 'According', 'count': 313, 'pct': 2.4441667968139935}, {'token': 'following', 'count': 272, 'pct': 2.1240043729501794}, {'token': 'Which', 'count': 234, 'pct': 1.8272684679056694}, {'token': 'in', 'count': 184, 'pct': 1.436826487583945}]",67.15,0.17874433859128533,0.4825458805154237,0.58430284492696,1.0,724.8917846679688,5.222175121307373
variant_2_final,11.268,3.761937798528838,4.567270145544906,2.773902307299856,2060,0.36563720269790556,"[{'token': '?', 'count': 500, 'pct': 8.874689385871495}, {'token': 'the', 'count': 377, 'pct': 6.691515796947106}, {'token': 'of', 'count': 192, 'pct': 3.407880724174654}, {'token': 'What', 'count': 142, 'pct': 2.5204117855875046}, {'token': 'did', 'count': 119, 'pct': 2.1121760738374156}, {'token': 'When', 'count': 109, 'pct': 1.9346822861199857}, {'token': 'was', 'count': 109, 'pct': 1.9346822861199857}, {'token': 'in', 'count': 104, 'pct': 1.845935392261271}, {'token': 'How', 'count': 96, 'pct': 1.703940362087327}, {'token': 'is', 'count': 91, 'pct': 1.615193468228612}]",61.22,0.3510827121050763,0.729984022723238,0.8184809406946791,1.0,1571.8818359375,4.564154148101807
variant_3_final,11.482,3.8581959514778412,4.611217557916739,2.8249219842162425,1748,0.3044765720257795,"[{'token': '?', 'count': 499, 'pct': 8.691865528653544}, {'token': 'the', 'count': 326, 'pct': 5.6784532311444}, {'token': 'of', 'count': 192, 'pct': 3.34436509318934}, {'token': 'What', 'count': 144, 'pct': 2.508273819892005}, {'token': 'in', 'count': 135, 'pct': 2.3515067061487547}, {'token': 'did', 'count': 120, 'pct': 2.0902281832433376}, {'token': 'was', 'count': 115, 'pct': 2.0031353422748652}, {'token': 'to', 'count': 111, 'pct': 1.9334610695000871}, {'token': 'When', 'count': 93, 'pct': 1.6199268420135866}, {'token': 'a', 'count': 83, 'pct': 1.4457411600766417}]",52.66,0.29454798815537364,0.5958188153310104,0.8192132522238162,1.0,368.62860107421875,2.5492289066314697
variant_4_final,10.83,3.567786428585657,4.46112650046168,2.684367629676541,1643,0.30341643582640815,"[{'token': '?', 'count': 499, 'pct': 9.215143120960295}, {'token': 'the', 'count': 407, 'pct': 7.5161588180978764}, {'token': 'What', 'count': 243, 'pct': 4.487534626038781}, {'token': 'of', 'count': 209, 'pct': 3.8596491228070176}, {'token': 'is', 'count': 144, 'pct': 2.6592797783933517}, {'token': 'in', 'count': 121, 'pct': 2.234533702677747}, {'token': 'was', 'count': 107, 'pct': 1.9759926131117267}, {'token': 'to', 'count': 81, 'pct': 1.4958448753462603}, {'token': 'a', 'count': 79, 'pct': 1.4589104339796861}, {'token': 'did', 'count': 76, 'pct': 1.4035087719298245}]",61.73,0.2934441366574331,0.6461026967122275,0.7455797484113273,1.0,919.0933227539062,4.466299057006836
variant_5_final,11.097560975609756,3.6076130751426922,4.5034798534798535,2.8014561193758247,1633,0.2990842490842491,"[{'token': '?', 'count': 491, 'pct': 8.992673992673993}, {'token': 'the', 'count': 402, 'pct': 7.362637362637363}, {'token': 'of', 'count': 214, 'pct': 3.9194139194139193}, {'token': 'What', 'count': 192, 'pct': 3.5164835164835164}, {'token': 'is', 'count': 140, 'pct': 2.564102564102564}, {'token': 'was', 'count': 113, 'pct': 2.0695970695970693}, {'token': 'in', 'count': 110, 'pct': 2.0146520146520146}, {'token': 'How', 'count': 106, 'pct': 1.9413919413919414}, {'token': 'to', 'count': 83, 'pct': 1.52014652014652}, {'token': 'When', 'count': 81, 'pct': 1.4835164835164834}]",61.43,0.28534798534798533,0.6442571899615314,0.7229401725482782,1.0,662.285400390625,3.349367618560791
variant_6_final,11.088353413654618,4.407941092881305,4.4887721839913075,2.784542494932714,1711,0.3098515030785947,"[{'token': '?', 'count': 497, 'pct': 9.000362187613185}, {'token': 'the', 'count': 397, 'pct': 7.189424121695039}, {'token': 'of', 'count': 202, 'pct': 3.6580948931546544}, {'token': 'What', 'count': 189, 'pct': 3.422672944585295}, {'token': 'is', 'count': 142, 'pct': 2.5715320536037667}, {'token': 'in', 'count': 109, 'pct': 1.9739224918507787}, {'token': 'How', 'count': 105, 'pct': 1.901484969214053}, {'token': 'was', 'count': 98, 'pct': 1.7747193045997829}, {'token': 'to', 'count': 87, 'pct': 1.5755161173487866}, {'token': 'did', 'count': 83, 'pct': 1.5030785947120608}]",61.53,0.2968127490039841,0.6511501539576163,0.7202785991682887,1.0,645.4647827148438,3.502340078353882
variant_7_final,13.976,5.125175509189905,4.529908414424728,2.7910630216274637,1681,0.24055523755008587,"[{'token': 'the', 'count': 487, 'pct': 6.969089868345736}, {'token': '?', 'count': 472, 'pct': 6.7544361763022325}, {'token': 'in', 'count': 196, 'pct': 2.8048082427017746}, {'token': 'did', 'count': 154, 'pct': 2.2037779049799657}, {'token': 'What', 'count': 151, 'pct': 2.1608471665712647}, {'token': 'of', 'count': 151, 'pct': 2.1608471665712647}, {'token': 'to', 'count': 121, 'pct': 1.7315397824842587}, {'token': ""'s"", 'count': 112, 'pct': 1.602747567258157}, {'token': ',', 'count': 108, 'pct': 1.5455065827132226}, {'token': 'passage', 'count': 100, 'pct': 1.4310246136233544}]",59.09,0.227884340108789,0.5888332140300644,0.6478221410982447,1.0,277.5005798339844,2.4825656414031982
variant_8_final,14.736,4.564460975843698,4.699782844733985,2.9079228245798086,1580,0.21444082519001087,"[{'token': 'the', 'count': 637, 'pct': 8.645494028230184}, {'token': '?', 'count': 475, 'pct': 6.446796959826276}, {'token': 'in', 'count': 211, 'pct': 2.863735070575461}, {'token': 'of', 'count': 206, 'pct': 2.795874049945711}, {'token': 'to', 'count': 182, 'pct': 2.47014115092291}, {'token': 'What', 'count': 175, 'pct': 2.3751357220412594}, {'token': 'passage', 'count': 154, 'pct': 2.0901194353963084}, {'token': ',', 'count': 127, 'pct': 1.723669923995657}, {'token': 'is', 'count': 121, 'pct': 1.6422366992399566}, {'token': 'did', 'count': 92, 'pct': 1.248642779587405}]",49.72,0.20464421510048886,0.4737199511068858,0.6695421291269668,1.0,334.14227294921875,2.5975213050842285
variant_9_final,11.022088353413654,3.671981460685138,4.483694662051375,2.762368158219933,1645,0.2996902896702496,"[{'token': '?', 'count': 498, 'pct': 9.072690836217891}, {'token': 'the', 'count': 402, 'pct': 7.323738385862634}, {'token': 'of', 'count': 234, 'pct': 4.263071597740936}, {'token': 'What', 'count': 171, 'pct': 3.1153215521952995}, {'token': 'is', 'count': 139, 'pct': 2.5323374020768807}, {'token': 'was', 'count': 111, 'pct': 2.022226270723265}, {'token': 'How', 'count': 103, 'pct': 1.87648023319366}, {'token': 'did', 'count': 103, 'pct': 1.87648023319366}, {'token': 'When', 'count': 101, 'pct': 1.8400437238112588}, {'token': 'in', 'count': 99, 'pct': 1.8036072144288577}]",61.53,0.28584441610493716,0.6439504373177842,0.7086575229741148,1.0,710.2395629882812,3.5592434406280518
variant_10_final,11.114173228346457,3.89916656569065,4.537725823591924,2.83653934176887,1689,0.29914984059511157,"[{'token': '?', 'count': 507, 'pct': 8.979808714133899}, {'token': 'the', 'count': 398, 'pct': 7.049238398866454}, {'token': 'of', 'count': 231, 'pct': 4.0913921360255046}, {'token': 'What', 'count': 200, 'pct': 3.5423308537017353}, {'token': 'is', 'count': 157, 'pct': 2.7807297201558625}, {'token': 'in', 'count': 108, 'pct': 1.9128586609989375}, {'token': 'How', 'count': 99, 'pct': 1.7534537725823591}, {'token': 'was', 'count': 96, 'pct': 1.7003188097768331}, {'token': 'did', 'count': 91, 'pct': 1.61176053843429}, {'token': 'to', 'count': 80, 'pct': 1.4169323414806942}]",53.07,0.28768821966341895,0.6389085754783841,0.7064371035522633,1.0,617.9725341796875,3.4859936237335205
